country,year,di_state,udems_mean,dem_age,dem5,crrncy_crisis,infltn_crisis,banking_crisis,dbagdp,concentration,peer_region_ind,peer_region_mof,kaopen,imf_2,pr_bur,pr_corrupt,pr_invest,pr_law_order,pr_socio_econ,eu1994,eu,gdp_pcapita,time_in_office,legal_duration,frac_deposits_gov_owned,liquid_assets_reserves,capital_assets_ratio,frac_assets_gov_owned,liec,eiec
"Algeria",1984,"No Explicit DI",-1.135393,0,0,0,0,0,66.48275,,0,0,-1.831187,0,1,3,7.416667,2,7.333333,0,0,2.31,1,7,.91,,,,4,3
"Algeria",1985,"No Explicit DI",-1.173433,0,0,0,0,0,69.18471,,0,0,-1.831187,0,1,4,8.75,2,7.75,0,0,2.44,.5,7,.91,,,,4,3
"Algeria",1986,"No Explicit DI",-1.132767,0,0,0,0,0,74.39187,,0,0,-1.831187,0,1,4,7.833333,2,7.166667,0,0,2.64,1,7,.91,,,,4,3
"Algeria",1987,"No Explicit DI",-1.126359,0,0,0,0,0,73.9804,,0,0,-1.831187,0,1,4,6.333333,2.083333,6.5,0,0,2.87,2,7,.91,,,,4,3
"Algeria",1988,"No Explicit DI",-.8529455,0,0,1,0,0,71.07629,,0,0,-1.135522,0,2.083333,4,6.75,2.75,6,0,0,2.82,3,7,.91,,,,4,3
"Algeria",1989,"No Explicit DI",-.2930265,0,0,1,0,0,64.20415,,0,0,-1.135522,1,3,4,5,2,3.916667,0,0,2.6,.5,7,.91,,,,4,3
"Algeria",1990,"No Explicit DI",-.1564207,0,0,1,0,1,56.84423,,0,0,-1.135522,1,3,3.916667,3.666667,2.166667,5.416667,0,0,2.42,1,7,.91,,,,5,3
"Algeria",1991,"No Explicit DI",-.1526328,0,0,1,1,1,44.48712,,0,0,-1.135522,0,2.25,4,4.583333,1.416667,6.25,0,0,2.04,2,7,.91,,,,5,3
"Algeria",1992,"No Explicit DI",-.9757842,0,0,0,1,1,41.38625,,0,0,-1.135522,0,1,3.5,5.666667,1.416667,4.75,0,0,1.94,.5,7,.91,,,,5,3
"Algeria",1993,"No Explicit DI",-.971406,0,0,0,1,0,40.7779,,5.882353,0,-1.135522,0,1,3,5.333333,2,5.916667,0,0,1.76,1,7,.91,,,,2,2
"Algeria",1994,"No Explicit DI",-1.142226,0,0,1,1,0,36.2633,1,5.882353,0,-1.135522,1,1,3,5,3,6,0,0,1.65,2,7,.91,,,,2,2
"Algeria",1995,"No Explicit DI",-.3675797,0,0,1,1,0,31.25772,.826761,5.882353,0,-1.135522,1,1,3,5.416667,3,5.166667,0,0,1.58,3,7,.91,,,,2,2
"Algeria",1996,"No Explicit DI",-.3667642,0,0,0,0,0,32.73352,.8177649,5.882353,0,-1.135522,0,1,3,6.666667,3,5.583333,0,0,1.54,4,7,.91,,,,2,7
"Algeria",1997,"Central Bank",-.3145118,0,0,0,0,0,34.30699,.993069,5.882353,0,-1.135522,0,1.416667,2.5,7.25,3,4,0,0,1.53,5,7,.91,,,,7,7
"Algeria",1998,"Central Bank",-.256802,0,0,0,0,0,37.57606,.9921145,5.882353,0,-1.135522,0,2,2,6,2.083333,4,0,0,1.57,6,7,.91,,,,7,7
"Algeria",1999,"Central Bank",-.2380615,0,0,0,0,0,38.67482,.7880974,5.882353,0,-1.135522,0,2,2,6,2,3.083333,0,0,1.56,7,7,.91,,,,7,7
"Algeria",2000,"Central Bank",-.1392636,0,0,0,0,0,33.09422,.779548,11.76471,0,-1.135522,0,2,2,6.916667,2,3,0,0,1.61,8,7,.91,,,,7,7
"Algeria",2001,"Central Bank",-.2383744,0,0,0,0,0,37.79595,.7854533,11.76471,0,-1.135522,0,2,1.958333,7.958333,2,3.666667,0,0,1.68,.5,7,.91,.3448543,,,7,7
"Algeria",2002,"Central Bank",-.2998359,0,0,0,0,0,43.26444,.7947446,11.76471,0,-1.135522,0,2,1.5,8.458333,2,4,0,0,1.75,1,7,.91,.4338841,,,7,7
"Algeria",2003,"Central Bank",-.301544,0,0,0,0,0,41.17442,.9538409,11.76471,0,-1.135522,0,2,1.5,8,2,4,0,0,1.95,2,7,.91,.6000097,,.9,7,7
"Algeria",2004,"Central Bank",-.2517596,0,0,0,0,0,37.29182,.7936675,11.76471,0,-1.135522,0,2,1.5,8.083333,2.416667,4.666667,0,0,2.29,3,7,.91,.6021335,,.9,7,7
"Algeria",2005,"Central Bank",-.1863367,0,0,0,0,0,33.32209,.9141449,11.76471,0,-1.135522,0,2,1.5,9.166667,3,5.416667,0,0,2.72,4,7,.91,.5268995,,.9,7,7
