country,year,di_state,no_RandR
Afghanistan,1970,No Explicit DI,No Crisis Data
Afghanistan,1971,No Explicit DI,No Crisis Data
Afghanistan,1972,No Explicit DI,No Crisis Data
Afghanistan,1973,No Explicit DI,No Crisis Data
Afghanistan,1974,No Explicit DI,No Crisis Data
Afghanistan,1975,No Explicit DI,No Crisis Data
Afghanistan,1976,No Explicit DI,No Crisis Data
Afghanistan,1977,No Explicit DI,No Crisis Data
Afghanistan,1978,No Explicit DI,No Crisis Data
Afghanistan,1979,No Explicit DI,No Crisis Data
Afghanistan,1980,No Explicit DI,No Crisis Data
Afghanistan,1981,No Explicit DI,No Crisis Data
Afghanistan,1982,No Explicit DI,No Crisis Data
Afghanistan,1983,No Explicit DI,No Crisis Data
Afghanistan,1984,No Explicit DI,No Crisis Data
Afghanistan,1985,No Explicit DI,No Crisis Data
Afghanistan,1986,No Explicit DI,No Crisis Data
Afghanistan,1987,No Explicit DI,No Crisis Data
Afghanistan,1988,No Explicit DI,No Crisis Data
Afghanistan,1989,No Explicit DI,No Crisis Data
Afghanistan,1990,No Explicit DI,No Crisis Data
Afghanistan,1991,No Explicit DI,No Crisis Data
Afghanistan,1992,No Explicit DI,No Crisis Data
Afghanistan,1993,No Explicit DI,No Crisis Data
Afghanistan,1994,No Explicit DI,No Crisis Data
Afghanistan,1995,No Explicit DI,No Crisis Data
Afghanistan,1996,No Explicit DI,No Crisis Data
Afghanistan,1997,No Explicit DI,No Crisis Data
Afghanistan,1998,No Explicit DI,No Crisis Data
Afghanistan,1999,No Explicit DI,No Crisis Data
Afghanistan,2000,No Explicit DI,No Crisis Data
Afghanistan,2001,No Explicit DI,No Crisis Data
Afghanistan,2002,No Explicit DI,No Crisis Data
Afghanistan,2003,No Explicit DI,No Crisis Data
Afghanistan,2004,No Explicit DI,No Crisis Data
Afghanistan,2005,No Explicit DI,No Crisis Data
Afghanistan,2006,No Explicit DI,No Crisis Data
Afghanistan,2007,No Explicit DI,No Crisis Data
Albania,1970,No Explicit DI,No Crisis Data
Albania,1971,No Explicit DI,No Crisis Data
Albania,1972,No Explicit DI,No Crisis Data
Albania,1973,No Explicit DI,No Crisis Data
Albania,1974,No Explicit DI,No Crisis Data
Albania,1975,No Explicit DI,No Crisis Data
Albania,1976,No Explicit DI,No Crisis Data
Albania,1977,No Explicit DI,No Crisis Data
Albania,1978,No Explicit DI,No Crisis Data
Albania,1979,No Explicit DI,No Crisis Data
Albania,1980,No Explicit DI,No Crisis Data
Albania,1981,No Explicit DI,No Crisis Data
Albania,1982,No Explicit DI,No Crisis Data
Albania,1983,No Explicit DI,No Crisis Data
Albania,1984,No Explicit DI,No Crisis Data
Albania,1985,No Explicit DI,No Crisis Data
Albania,1986,No Explicit DI,No Crisis Data
Albania,1987,No Explicit DI,No Crisis Data
Albania,1988,No Explicit DI,No Crisis Data
Albania,1989,No Explicit DI,No Crisis Data
Albania,1990,No Explicit DI,No Crisis Data
Albania,1991,No Explicit DI,No Crisis Data
Albania,1992,No Explicit DI,No Crisis Data
Albania,1993,No Explicit DI,No Crisis Data
Albania,1994,No Explicit DI,No Crisis Data
Albania,1995,No Explicit DI,No Crisis Data
Albania,1996,No Explicit DI,No Crisis Data
Albania,1997,No Explicit DI,No Crisis Data
Albania,1998,No Explicit DI,No Crisis Data
Albania,1999,No Explicit DI,No Crisis Data
Albania,2000,No Explicit DI,No Crisis Data
Albania,2001,No Explicit DI,No Crisis Data
Albania,2002,Ministry of Finance,No Crisis Data
Albania,2003,Ministry of Finance,No Crisis Data
Albania,2004,Ministry of Finance,No Crisis Data
Albania,2005,Ministry of Finance,No Crisis Data
