iso2c,country,year,di_state,no_RandR
AF,Afghanistan,1970,No Explicit DI,No Crisis Data
AF,Afghanistan,1971,No Explicit DI,No Crisis Data
AF,Afghanistan,1972,No Explicit DI,No Crisis Data
AF,Afghanistan,1973,No Explicit DI,No Crisis Data
AF,Afghanistan,1974,No Explicit DI,No Crisis Data
AF,Afghanistan,1975,No Explicit DI,No Crisis Data
AF,Afghanistan,1976,No Explicit DI,No Crisis Data
AF,Afghanistan,1977,No Explicit DI,No Crisis Data
AF,Afghanistan,1978,No Explicit DI,No Crisis Data
AF,Afghanistan,1979,No Explicit DI,No Crisis Data
AF,Afghanistan,1980,No Explicit DI,No Crisis Data
AF,Afghanistan,1981,No Explicit DI,No Crisis Data
AF,Afghanistan,1982,No Explicit DI,No Crisis Data
AF,Afghanistan,1983,No Explicit DI,No Crisis Data
AF,Afghanistan,1984,No Explicit DI,No Crisis Data
AF,Afghanistan,1985,No Explicit DI,No Crisis Data
AF,Afghanistan,1986,No Explicit DI,No Crisis Data
AF,Afghanistan,1987,No Explicit DI,No Crisis Data
AF,Afghanistan,1988,No Explicit DI,No Crisis Data
AF,Afghanistan,1989,No Explicit DI,No Crisis Data
AF,Afghanistan,1990,No Explicit DI,No Crisis Data
AF,Afghanistan,1991,No Explicit DI,No Crisis Data
AF,Afghanistan,1992,No Explicit DI,No Crisis Data
AF,Afghanistan,1993,No Explicit DI,No Crisis Data
AF,Afghanistan,1994,No Explicit DI,No Crisis Data
AF,Afghanistan,1995,No Explicit DI,No Crisis Data
AF,Afghanistan,1996,No Explicit DI,No Crisis Data
AF,Afghanistan,1997,No Explicit DI,No Crisis Data
AF,Afghanistan,1998,No Explicit DI,No Crisis Data
AF,Afghanistan,1999,No Explicit DI,No Crisis Data
AF,Afghanistan,2000,No Explicit DI,No Crisis Data
AF,Afghanistan,2001,No Explicit DI,No Crisis Data
AF,Afghanistan,2002,No Explicit DI,No Crisis Data
AF,Afghanistan,2003,No Explicit DI,No Crisis Data
AF,Afghanistan,2004,No Explicit DI,No Crisis Data
